office,candidate,party,county,votes,district
President of the United States,McCain,R,Appling,5085,N/A
President of the United States,Obama,D,Appling,1846,N/A
President of the United States,Totals,Total,Appling,65,N/A
President of the United States,McCain,R,Atkinson,1941,N/A
President of the United States,Obama,D,Atkinson,938,N/A
President of the United States,Totals,Total,Atkinson,23,N/A
President of the United States,McCain,R,Bacon,3089,N/A
President of the United States,Obama,D,Bacon,817,N/A
President of the United States,Totals,Total,Bacon,31,N/A
President of the United States,McCain,R,Baker,828,N/A
President of the United States,Obama,D,Baker,846,N/A
President of the United States,Totals,Total,Baker,13,N/A
President of the United States,McCain,R,Baldwin,7823,N/A
President of the United States,Obama,D,Baldwin,8587,N/A
President of the United States,Totals,Total,Baldwin,109,N/A
President of the United States,McCain,R,Banks,5120,N/A
President of the United States,Obama,D,Banks,1027,N/A
President of the United States,Totals,Total,Banks,89,N/A
President of the United States,McCain,R,Barrow,17625,N/A
President of the United States,Obama,D,Barrow,6657,N/A
President of the United States,Totals,Total,Barrow,280,N/A
President of the United States,McCain,R,Bartow,25976,N/A
President of the United States,Obama,D,Bartow,9662,N/A
President of the United States,Totals,Total,Bartow,410,N/A
President of the United States,McCain,R,Ben hill,3417,N/A
President of the United States,Obama,D,Ben hill,2590,N/A
President of the United States,Totals,Total,Ben hill,28,N/A
President of the United States,McCain,R,Berrien,4901,N/A
President of the United States,Obama,D,Berrien,1471,N/A
President of the United States,Totals,Total,Berrien,72,N/A
President of the United States,McCain,R,Bibb,27037,N/A
President of the United States,Obama,D,Bibb,38987,N/A
President of the United States,Totals,Total,Bibb,284,N/A
President of the United States,McCain,R,Bleckley,3657,N/A
President of the United States,Obama,D,Bleckley,1380,N/A
President of the United States,Totals,Total,Bleckley,32,N/A
President of the United States,McCain,R,Brantley,5080,N/A
President of the United States,Obama,D,Brantley,1119,N/A
President of the United States,Totals,Total,Brantley,73,N/A
President of the United States,McCain,R,Brooks,3507,N/A
President of the United States,Obama,D,Brooks,2669,N/A
President of the United States,Totals,Total,Brooks,20,N/A
President of the United States,McCain,R,Bryan,9112,N/A
President of the United States,Obama,D,Bryan,3636,N/A
President of the United States,Totals,Total,Bryan,89,N/A
President of the United States,McCain,R,Bulloch,14174,N/A
President of the United States,Obama,D,Bulloch,9586,N/A
President of the United States,Totals,Total,Bulloch,144,N/A
President of the United States,McCain,R,Burke,4344,N/A
President of the United States,Obama,D,Burke,5233,N/A
President of the United States,Totals,Total,Burke,41,N/A
President of the United States,McCain,R,Butts,5947,N/A
President of the United States,Obama,D,Butts,3065,N/A
President of the United States,Totals,Total,Butts,77,N/A
President of the United States,McCain,R,Calhoun,862,N/A
President of the United States,Obama,D,Calhoun,1342,N/A
President of the United States,Totals,Total,Calhoun,7,N/A
President of the United States,McCain,R,Camden,10502,N/A
President of the United States,Obama,D,Camden,6482,N/A
President of the United States,Totals,Total,Camden,87,N/A
President of the United States,McCain,R,Candler,2286,N/A
President of the United States,Obama,D,Candler,1209,N/A
President of the United States,Totals,Total,Candler,20,N/A
President of the United States,McCain,R,Carroll,28661,N/A
President of the United States,Obama,D,Carroll,14334,N/A
President of the United States,Totals,Total,Carroll,429,N/A
President of the United States,McCain,R,Catoosa,18218,N/A
President of the United States,Obama,D,Catoosa,6025,N/A
President of the United States,Totals,Total,Catoosa,225,N/A
President of the United States,McCain,R,Charlton,2466,N/A
President of the United States,Obama,D,Charlton,1197,N/A
President of the United States,Totals,Total,Charlton,22,N/A
President of the United States,McCain,R,Chatham,46829,N/A
President of the United States,Obama,D,Chatham,62755,N/A
President of the United States,Totals,Total,Chatham,566,N/A
President of the United States,McCain,R,Chattahoochee,811,N/A
President of the United States,Obama,D,Chattahoochee,830,N/A
President of the United States,Totals,Total,Chattahoochee,11,N/A
President of the United States,McCain,R,Chattooga,5572,N/A
President of the United States,Obama,D,Chattooga,2596,N/A
President of the United States,Totals,Total,Chattooga,134,N/A
President of the United States,McCain,R,Cherokee,70279,N/A
President of the United States,Obama,D,Cherokee,22350,N/A
President of the United States,Totals,Total,Cherokee,1026,N/A
President of the United States,McCain,R,Clarke,15333,N/A
President of the United States,Obama,D,Clarke,29591,N/A
President of the United States,Totals,Total,Clarke,493,N/A
President of the United States,McCain,R,Clay,558,N/A
President of the United States,Obama,D,Clay,879,N/A
President of the United States,Totals,Total,Clay,3,N/A
President of the United States,McCain,R,Clayton,16506,N/A
President of the United States,Obama,D,Clayton,82527,N/A
President of the United States,Totals,Total,Clayton,353,N/A
President of the United States,McCain,R,Clinch,1678,N/A
President of the United States,Obama,D,Clinch,989,N/A
President of the United States,Totals,Total,Clinch,29,N/A
President of the United States,McCain,R,Cobb,170957,N/A
President of the United States,Obama,D,Cobb,141216,N/A
President of the United States,Totals,Total,Cobb,2966,N/A
President of the United States,McCain,R,Coffee,8872,N/A
President of the United States,Obama,D,Coffee,4811,N/A
President of the United States,Totals,Total,Coffee,57,N/A
President of the United States,McCain,R,Colquitt,9185,N/A
President of the United States,Obama,D,Colquitt,4139,N/A
President of the United States,Totals,Total,Colquitt,105,N/A
President of the United States,McCain,R,Columbia,39322,N/A
President of the United States,Obama,D,Columbia,15703,N/A
President of the United States,Totals,Total,Columbia,298,N/A
President of the United States,McCain,R,Cook,3782,N/A
President of the United States,Obama,D,Cook,2075,N/A
President of the United States,Totals,Total,Cook,46,N/A
President of the United States,McCain,R,Coweta,37571,N/A
President of the United States,Obama,D,Coweta,15521,N/A
President of the United States,Totals,Total,Coweta,410,N/A
President of the United States,McCain,R,Crawford,3358,N/A
President of the United States,Obama,D,Crawford,1832,N/A
President of the United States,Totals,Total,Crawford,46,N/A
President of the United States,McCain,R,Crisp,4424,N/A
President of the United States,Obama,D,Crisp,3085,N/A
President of the United States,Totals,Total,Crisp,36,N/A
President of the United States,McCain,R,Dade,4703,N/A
President of the United States,Obama,D,Dade,1612,N/A
President of the United States,Totals,Total,Dade,93,N/A
President of the United States,McCain,R,Dawson,8242,N/A
President of the United States,Obama,D,Dawson,1632,N/A
President of the United States,Totals,Total,Dawson,93,N/A
President of the United States,McCain,R,Decatur,5890,N/A
President of the United States,Obama,D,Decatur,4424,N/A
President of the United States,Totals,Total,Decatur,56,N/A
President of the United States,McCain,R,Dekalb,65581,N/A
President of the United States,Obama,D,Dekalb,254594,N/A
President of the United States,Totals,Total,Dekalb,1895,N/A
President of the United States,McCain,R,Dodge,5543,N/A
President of the United States,Obama,D,Dodge,2595,N/A
President of the United States,Totals,Total,Dodge,70,N/A
President of the United States,McCain,R,Dooly,1991,N/A
President of the United States,Obama,D,Dooly,2138,N/A
President of the United States,Totals,Total,Dooly,29,N/A
President of the United States,McCain,R,Dougherty,12547,N/A
President of the United States,Obama,D,Dougherty,26135,N/A
President of the United States,Totals,Total,Dougherty,150,N/A
President of the United States,McCain,R,Douglas,26812,N/A
President of the United States,Obama,D,Douglas,27825,N/A
President of the United States,Totals,Total,Douglas,419,N/A
President of the United States,McCain,R,Early,2711,N/A
President of the United States,Obama,D,Early,2603,N/A
President of the United States,Totals,Total,Early,21,N/A
President of the United States,McCain,R,Echols,981,N/A
President of the United States,Obama,D,Echols,201,N/A
President of the United States,Totals,Total,Echols,5,N/A
President of the United States,McCain,R,Effingham,15230,N/A
President of the United States,Obama,D,Effingham,4936,N/A
President of the United States,Totals,Total,Effingham,132,N/A
President of the United States,McCain,R,Elbert,4868,N/A
President of the United States,Obama,D,Elbert,3366,N/A
President of the United States,Totals,Total,Elbert,73,N/A
President of the United States,McCain,R,Emanuel,5110,N/A
President of the United States,Obama,D,Emanuel,3068,N/A
President of the United States,Totals,Total,Emanuel,56,N/A
President of the United States,McCain,R,Evans,2462,N/A
President of the United States,Obama,D,Evans,1374,N/A
President of the United States,Totals,Total,Evans,19,N/A
President of the United States,McCain,R,Fannin,7807,N/A
President of the United States,Obama,D,Fannin,2611,N/A
President of the United States,Totals,Total,Fannin,154,N/A
President of the United States,McCain,R,Fayette,38501,N/A
President of the United States,Obama,D,Fayette,20313,N/A
President of the United States,Totals,Total,Fayette,470,N/A
President of the United States,McCain,R,Floyd,23132,N/A
President of the United States,Obama,D,Floyd,10691,N/A
President of the United States,Totals,Total,Floyd,374,N/A
President of the United States,McCain,R,Forsyth,59166,N/A
President of the United States,Obama,D,Forsyth,15406,N/A
President of the United States,Totals,Total,Forsyth,705,N/A
President of the United States,McCain,R,Franklin,6069,N/A
President of the United States,Obama,D,Franklin,1914,N/A
President of the United States,Totals,Total,Franklin,84,N/A
President of the United States,McCain,R,Fulton,130136,N/A
President of the United States,Obama,D,Fulton,272000,N/A
President of the United States,Totals,Total,Fulton,2498,N/A
President of the United States,McCain,R,Gilmer,8408,N/A
President of the United States,Obama,D,Gilmer,2614,N/A
President of the United States,Totals,Total,Gilmer,117,N/A
President of the United States,McCain,R,Glascock,1202,N/A
President of the United States,Obama,D,Glascock,210,N/A
President of the United States,Totals,Total,Glascock,16,N/A
President of the United States,McCain,R,Glynn,20479,N/A
President of the United States,Obama,D,Glynn,12676,N/A
President of the United States,Totals,Total,Glynn,161,N/A
President of the United States,McCain,R,Gordon,13113,N/A
President of the United States,Obama,D,Gordon,4268,N/A
President of the United States,Totals,Total,Gordon,208,N/A
President of the United States,McCain,R,Grady,5775,N/A
President of the United States,Obama,D,Grady,3539,N/A
President of the United States,Totals,Total,Grady,45,N/A
President of the United States,McCain,R,Greene,4532,N/A
President of the United States,Obama,D,Greene,3339,N/A
President of the United States,Totals,Total,Greene,47,N/A
President of the United States,McCain,R,Gwinnett,158746,N/A
President of the United States,Obama,D,Gwinnett,129025,N/A
President of the United States,Totals,Total,Gwinnett,2345,N/A
President of the United States,McCain,R,Habersham,11766,N/A
President of the United States,Obama,D,Habersham,2900,N/A
President of the United States,Totals,Total,Habersham,127,N/A
President of the United States,McCain,R,Hall,44962,N/A
President of the United States,Obama,D,Hall,14457,N/A
President of the United States,Totals,Total,Hall,504,N/A
President of the United States,McCain,R,Hancock,795,N/A
President of the United States,Obama,D,Hancock,3535,N/A
President of the United States,Totals,Total,Hancock,14,N/A
President of the United States,McCain,R,Haralson,8658,N/A
President of the United States,Obama,D,Haralson,2248,N/A
