county,office,district,party,candidate,votes,election_day,absentee,early_voting,provisional
,President,,REP,JEB BUSH,7686,3990,714,2964,18
Appling,President,,REP,JEB BUSH,32,20,5,7,0
Atkinson,President,,REP,JEB BUSH,4,2,0,2,0
Bacon,President,,REP,JEB BUSH,8,5,0,3,0
Baker,President,,REP,JEB BUSH,3,1,1,1,0
Baldwin,President,,REP,JEB BUSH,45,25,3,17,0
Banks,President,,REP,JEB BUSH,15,12,2,1,0
Barrow,President,,REP,JEB BUSH,53,33,3,17,0
Bartow,President,,REP,JEB BUSH,82,48,2,32,0
Ben Hill,President,,REP,JEB BUSH,19,11,0,8,0
Berrien,President,,REP,JEB BUSH,30,8,10,12,0
Bibb,President,,REP,JEB BUSH,92,54,18,20,0
Bleckley,President,,REP,JEB BUSH,18,10,0,8,0
Brantley,President,,REP,JEB BUSH,20,14,2,4,0
Brooks,President,,REP,JEB BUSH,12,7,4,1,0
Bryan,President,,REP,JEB BUSH,40,24,3,13,0
Bulloch,President,,REP,JEB BUSH,61,39,4,17,1
Burke,President,,REP,JEB BUSH,25,18,1,6,0
Butts,President,,REP,JEB BUSH,19,7,3,9,0
Calhoun,President,,REP,JEB BUSH,1,1,0,0,0
Camden,President,,REP,JEB BUSH,35,26,5,4,0
Candler,President,,REP,JEB BUSH,49,7,5,37,0
Carroll,President,,REP,JEB BUSH,86,48,4,34,0
Catoosa,President,,REP,JEB BUSH,45,21,1,23,0
Charlton,President,,REP,JEB BUSH,19,10,0,9,0
Chatham,President,,REP,JEB BUSH,274,172,19,83,0
Chattahoochee,President,,REP,JEB BUSH,4,1,1,2,0
Chattooga,President,,REP,JEB BUSH,24,13,1,10,0
Cherokee,President,,REP,JEB BUSH,168,94,7,67,0
Clarke,President,,REP,JEB BUSH,64,37,7,20,0
Clay,President,,REP,JEB BUSH,5,3,0,2,0
Clayton,President,,REP,JEB BUSH,62,46,2,14,0
Clinch,President,,REP,JEB BUSH,16,13,0,3,0
Cobb,President,,REP,JEB BUSH,511,299,57,153,2
Coffee,President,,REP,JEB BUSH,36,14,3,19,0
Colquitt,President,,REP,JEB BUSH,82,37,1,44,0
Columbia,President,,REP,JEB BUSH,112,54,16,42,0
Cook,President,,REP,JEB BUSH,14,10,0,4,0
Coweta,President,,REP,JEB BUSH,127,68,25,34,0
Crawford,President,,REP,JEB BUSH,5,3,0,2,0
Crisp,President,,REP,JEB BUSH,12,5,4,3,0
Dade,President,,REP,JEB BUSH,11,5,0,6,0
Dawson,President,,REP,JEB BUSH,25,9,5,10,1
Decatur,President,,REP,JEB BUSH,34,19,5,10,0
DeKalb,President,,REP,JEB BUSH,337,196,47,94,0
Dodge,President,,REP,JEB BUSH,11,6,0,5,0
Dooly,President,,REP,JEB BUSH,7,3,1,3,0
Dougherty,President,,REP,JEB BUSH,57,42,6,9,0
Douglas,President,,REP,JEB BUSH,101,34,7,60,0
Early,President,,REP,JEB BUSH,17,6,0,11,0
Echols,President,,REP,JEB BUSH,2,1,0,1,0
Effingham,President,,REP,JEB BUSH,59,42,3,14,0
Elbert,President,,REP,JEB BUSH,27,10,2,15,0
Emanuel,President,,REP,JEB BUSH,13,9,2,2,0
Evans,President,,REP,JEB BUSH,18,5,2,11,0
Fannin,President,,REP,JEB BUSH,31,15,5,11,0
Fayette,President,,REP,JEB BUSH,125,69,5,51,0
Floyd,President,,REP,JEB BUSH,73,45,5,23,0
Forsyth,President,,REP,JEB BUSH,220,62,21,136,1
Franklin,President,,REP,JEB BUSH,30,23,2,5,0
Fulton,President,,REP,JEB BUSH,553,277,40,235,1
Gilmer,President,,REP,JEB BUSH,35,13,5,17,0
Glascock,President,,REP,JEB BUSH,10,6,1,3,0
Glynn,President,,REP,JEB BUSH,100,61,4,35,0
Gordon,President,,REP,JEB BUSH,54,25,4,24,1
Grady,President,,REP,JEB BUSH,32,9,0,23,0
Greene,President,,REP,JEB BUSH,29,4,3,22,0
Gwinnett,President,,REP,JEB BUSH,401,261,37,102,1
Habersham,President,,REP,JEB BUSH,47,17,9,21,0
Hall,President,,REP,JEB BUSH,162,86,24,51,1
Hancock,President,,REP,JEB BUSH,0,0,0,0,0
Haralson,President,,REP,JEB BUSH,29,19,3,7,0
Harris,President,,REP,JEB BUSH,39,20,2,17,0
Hart,President,,REP,JEB BUSH,27,9,0,18,0
Heard,President,,REP,JEB BUSH,14,6,3,5,0
Henry,President,,REP,JEB BUSH,161,73,12,76,0
Houston,President,,REP,JEB BUSH,110,44,10,56,0
Irwin,President,,REP,JEB BUSH,4,1,0,3,0
Jackson,President,,REP,JEB BUSH,42,27,0,15,0
Jasper,President,,REP,JEB BUSH,19,10,1,6,2
Jeff Davis,President,,REP,JEB BUSH,21,9,0,12,0
Jefferson,President,,REP,JEB BUSH,16,8,1,7,0
Jenkins,President,,REP,JEB BUSH,8,5,0,3,0
Johnson,President,,REP,JEB BUSH,4,1,0,3,0
Jones,President,,REP,JEB BUSH,37,16,14,7,0
Lamar,President,,REP,JEB BUSH,20,11,3,6,0
Lanier,President,,REP,JEB BUSH,4,1,0,3,0
Laurens,President,,REP,JEB BUSH,47,23,6,18,0
Lee,President,,REP,JEB BUSH,39,24,2,13,0
Liberty,President,,REP,JEB BUSH,26,8,1,17,0
Lincoln,President,,REP,JEB BUSH,12,4,0,8,0
Long,President,,REP,JEB BUSH,13,9,0,4,0
Lowndes,President,,REP,JEB BUSH,76,28,5,41,2
Lumpkin,President,,REP,JEB BUSH,26,18,0,8,0
Macon,President,,REP,JEB BUSH,9,5,0,4,0
Madison,President,,REP,JEB BUSH,42,23,5,14,0
Marion,President,,REP,JEB BUSH,6,4,0,2,0
McDuffie,President,,REP,JEB BUSH,26,15,5,6,0
McIntosh,President,,REP,JEB BUSH,26,6,0,20,0
Meriwether,President,,REP,JEB BUSH,9,7,0,2,0
Miller,President,,REP,JEB BUSH,11,5,1,5,0
Mitchell,President,,REP,JEB BUSH,25,9,1,15,0
Monroe,President,,REP,JEB BUSH,29,17,2,10,0
Montgomery,President,,REP,JEB BUSH,6,5,0,1,0
Morgan,President,,REP,JEB BUSH,20,8,0,12,0
Murray,President,,REP,JEB BUSH,31,19,1,11,0
Muscogee,President,,REP,JEB BUSH,140,74,13,53,0
Newton,President,,REP,JEB BUSH,62,34,4,24,0
Oconee,President,,REP,JEB BUSH,50,28,0,20,2
Oglethorpe,President,,REP,JEB BUSH,30,11,4,15,0
Paulding,President,,REP,JEB BUSH,115,43,21,51,0
Peach,President,,REP,JEB BUSH,11,4,1,6,0
Pickens,President,,REP,JEB BUSH,32,6,3,23,0
Pierce,President,,REP,JEB BUSH,31,19,2,10,0
Pike,President,,REP,JEB BUSH,26,12,7,7,0
Polk,President,,REP,JEB BUSH,33,16,1,16,0
Pulaski,President,,REP,JEB BUSH,13,2,1,10,0
Putnam,President,,REP,JEB BUSH,21,9,3,9,0
Quitman,President,,REP,JEB BUSH,7,2,2,3,0
Rabun,President,,REP,JEB BUSH,33,4,13,16,0
Randolph,President,,REP,JEB BUSH,15,6,0,9,0
Richmond,President,,REP,JEB BUSH,78,49,8,21,0
Rockdale,President,,REP,JEB BUSH,58,23,4,30,1
Schley,President,,REP,JEB BUSH,7,4,0,3,0
Screven,President,,REP,JEB BUSH,18,10,2,6,0
Seminole,President,,REP,JEB BUSH,11,8,0,2,1
Spalding,President,,REP,JEB BUSH,66,25,6,35,0
Stephens,President,,REP,JEB BUSH,75,13,11,51,0
Stewart,President,,REP,JEB BUSH,2,2,0,0,0
Sumter,President,,REP,JEB BUSH,17,9,2,6,0
Talbot,President,,REP,JEB BUSH,2,2,0,0,0
Taliaferro,President,,REP,JEB BUSH,5,2,2,1,0
Tattnall,President,,REP,JEB BUSH,23,13,3,7,0
Taylor,President,,REP,JEB BUSH,8,4,0,4,0
Telfair,President,,REP,JEB BUSH,9,9,0,0,0
Terrell,President,,REP,JEB BUSH,8,3,2,3,0
Thomas,President,,REP,JEB BUSH,72,37,2,33,0
Tift,President,,REP,JEB BUSH,47,33,1,13,0
Toombs,President,,REP,JEB BUSH,31,19,2,10,0
Towns,President,,REP,JEB BUSH,10,4,1,5,0
Treutlen,President,,REP,JEB BUSH,6,3,0,3,0
Troup,President,,REP,JEB BUSH,70,35,10,24,1
Turner,President,,REP,JEB BUSH,5,1,0,4,0
Twiggs,President,,REP,JEB BUSH,3,2,0,1,0
Union,President,,REP,JEB BUSH,38,13,2,23,0
