county,precinct,office,district,party,candidate,votes,absentee_by_mail,advance_in_person_1,advance_in_person_3,election_day,advance_in_person_2,provisional
Fulton,,State Representative,59,DEM,JANINE BROWN,1526,50,74,112,1285,5,0
Fulton,01A,State Representative,59,DEM,JANINE BROWN,84,5,8,1,69,1,0
Fulton,01B,State Representative,59,DEM,JANINE BROWN,160,4,10,1,142,3,0
Fulton,01C,State Representative,59,DEM,JANINE BROWN,36,2,1,3,30,0,0
Fulton,01E,State Representative,59,DEM,JANINE BROWN,174,1,16,4,153,0,0
Fulton,01J,State Representative,59,DEM,JANINE BROWN,86,10,5,9,62,0,0
Fulton,01P,State Representative,59,DEM,JANINE BROWN,62,10,1,0,51,0,0
Fulton,01R,State Representative,59,DEM,JANINE BROWN,35,0,2,1,32,0,0
Fulton,01T,State Representative,59,DEM,JANINE BROWN,44,2,1,0,41,0,0
Fulton,02E,State Representative,59,DEM,JANINE BROWN,86,2,11,1,71,1,0
Fulton,02F1,State Representative,59,DEM,JANINE BROWN,69,2,3,0,64,0,0
Fulton,05A2,State Representative,59,DEM,JANINE BROWN,128,3,8,0,117,0,0
Fulton,12E1,State Representative,59,DEM,JANINE BROWN,54,0,2,18,34,0,0
Fulton,12F,State Representative,59,DEM,JANINE BROWN,46,0,1,1,44,0,0
Fulton,12G,State Representative,59,DEM,JANINE BROWN,112,1,1,3,107,0,0
Fulton,12H,State Representative,59,DEM,JANINE BROWN,15,2,0,4,9,0,0
Fulton,EP02,State Representative,59,DEM,JANINE BROWN,223,6,2,56,159,0,0
Fulton,HP01,State Representative,59,DEM,JANINE BROWN,112,0,2,10,100,0,0
Fulton,,State Representative,59,DEM,DAVID DREYER,1850,83,91,35,1634,7,0
Fulton,01A,State Representative,59,DEM,DAVID DREYER,302,20,21,3,258,0,0
Fulton,01B,State Representative,59,DEM,DAVID DREYER,397,17,13,1,366,0,0
Fulton,01C,State Representative,59,DEM,DAVID DREYER,12,0,0,1,11,0,0
Fulton,01E,State Representative,59,DEM,DAVID DREYER,429,27,25,3,371,3,0
