county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,absentee_in_person_2,provisional,absentee_in_person
Cobb,,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,25293,1489,17127,3668,27,2982
Cobb,Acworth 1A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,165,10,95,53,0,7
Cobb,Acworth 1B,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,162,18,96,35,0,13
Cobb,Acworth 1C,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,52,6,38,8,0,0
Cobb,Addison 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,176,18,133,12,0,13
Cobb,Austell 1A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,53,3,38,11,0,1
Cobb,Bells Ferry 02,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,196,12,156,4,0,24
Cobb,Bells Ferry 03,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,218,16,176,7,0,19
Cobb,Big Shanty 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,118,0,90,16,0,12
Cobb,Big Shanty 02,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,118,6,92,8,0,12
Cobb,Baker 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,65,2,48,13,0,2
Cobb,Birney 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,93,13,61,7,0,12
Cobb,Birney 02,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,97,3,77,8,0,9
Cobb,Bryant 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,15,0,10,5,0,0
Cobb,Bryant 02,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,16,0,13,2,0,1
Cobb,Blackwell 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,145,14,107,2,0,22
Cobb,Chattahoochee 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,67,4,45,13,0,5
Cobb,Cheatham Hill 02,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,234,10,123,13,0,88
Cobb,Cheatham Hill 03,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,318,19,162,7,1,129
Cobb,Chalker 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,171,16,127,6,0,22
Cobb,Clarkdale 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,33,5,21,4,0,3
Cobb,Clarkdale 02,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,80,8,68,4,0,0
Cobb,Cooper 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,63,4,42,11,0,6
Cobb,Chestnut Ridge 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,370,7,274,78,0,11
Cobb,Dickerson 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,282,14,183,80,0,5
Cobb,Dobbins 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,31,1,22,4,0,4
Cobb,Dowell 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,189,9,112,9,1,58
Cobb,Dodgen 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,263,13,176,66,0,8
Cobb,Durham 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,184,12,119,32,0,21
Cobb,Davis 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,103,3,88,7,0,5
Cobb,Eastside 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,410,19,261,124,0,6
Cobb,Eastside 02,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,650,32,413,167,0,38
Cobb,Elizabeth 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,62,6,38,2,1,15
Cobb,Elizabeth 02,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,204,16,143,10,0,35
Cobb,Elizabeth 03,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,263,18,191,32,1,21
Cobb,Elizabeth 04,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,160,6,115,10,2,27
Cobb,Elizabeth 05,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,224,5,171,29,1,18
Cobb,East Piedmont 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,105,4,87,0,0,14
Cobb,Fair Oaks 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,95,8,56,4,1,26
Cobb,Fair Oaks 02,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,70,6,53,0,0,11
Cobb,Fair Oaks 04,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,61,8,41,1,1,10
Cobb,Fair Oaks 05,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,23,2,15,0,0,6
Cobb,Fullers Park 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,467,30,307,103,0,27
Cobb,Ford 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,116,7,70,27,0,12
Cobb,Frey 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,139,13,92,18,0,16
Cobb,Garrison Mill 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,222,8,186,19,0,9
Cobb,Gritters 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,293,20,233,9,0,31
Cobb,Harmony Leland 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,59,3,43,13,0,0
Cobb,Harrison 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,262,19,149,22,0,72
Cobb,Hightower 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,434,21,309,92,0,12
Cobb,Hayes 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,211,10,126,38,0,37
Cobb,Kennesaw 1A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,70,2,52,10,1,5
Cobb,Kennesaw 2A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,129,6,95,15,0,13
Cobb,Kennesaw 3A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,97,6,58,7,0,26
Cobb,Kennesaw 4A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,129,9,81,28,0,11
Cobb,Kennesaw 5A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,146,0,133,11,0,2
Cobb,Kell 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,85,5,73,1,0,6
Cobb,Kemp 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,180,10,91,16,0,63
Cobb,Kemp 02,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,298,16,192,23,0,67
Cobb,Kemp 03,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,222,13,121,57,0,31
Cobb,Lasssiter 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,231,17,168,20,0,26
Cobb,Lindley 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,111,11,71,23,0,6
Cobb,Lost Mountain 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,214,13,116,59,0,26
Cobb,Lost Mountain 02,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,226,14,135,39,1,37
Cobb,Lost Mountain 03,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,274,6,141,99,0,28
Cobb,Lost Mountain 04,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,140,8,96,11,0,25
Cobb,Lewis 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,67,0,45,19,0,3
Cobb,Mableton 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,96,8,55,28,0,5
Cobb,Mableton 02,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,48,1,30,11,2,4
Cobb,Mableton 03,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,113,8,76,25,0,4
Cobb,Mableton 04,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,106,6,68,27,0,5
Cobb,Mabry 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,118,8,98,5,0,7
Cobb,Macland 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,92,4,69,8,0,11
Cobb,Murdock 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,399,15,284,75,0,25
Cobb,McEachern 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,105,6,74,14,0,11
Cobb,McCleskey 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,155,9,118,11,0,17
Cobb,McClure 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,83,6,57,14,0,6
Cobb,Marietta 1A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,61,7,30,0,0,24
Cobb,Marietta 2A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,226,6,101,1,0,118
Cobb,Marietta 2B,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,258,14,126,2,0,116
Cobb,Marietta 3A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,284,9,160,0,0,115
Cobb,Marietta 4A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,251,12,133,1,1,104
Cobb,Marietta 4B,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,101,18,44,0,0,39
Cobb,Marietta 4C,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,215,5,110,1,0,99
Cobb,Marietta 5A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,56,0,43,3,0,10
Cobb,Marietta 5B,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,17,2,9,1,1,4
Cobb,Marietta 6A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,38,3,16,9,0,10
Cobb,Marietta 6B,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,196,4,141,18,1,32
Cobb,Marietta 7A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,28,1,21,1,0,5
Cobb,Mars Hill 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,124,3,98,16,0,7
Cobb,Mars Hill 02,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,98,1,71,18,0,8
Cobb,Mount Bethel 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,462,15,273,156,3,15
Cobb,Mount Bethel 03,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,292,20,127,141,0,4
Cobb,Mount Bethel 04,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,446,40,216,166,0,24
Cobb,North Cobb 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,78,5,48,23,0,2
Cobb,Nickajack 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,55,5,43,2,0,5
Cobb,Norton Park 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,167,13,127,3,0,24
Cobb,Nicholson 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,93,5,82,1,0,5
Cobb,Oakdale 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,152,12,118,4,0,18
Cobb,Oregon 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,132,3,78,26,0,25
Cobb,Oregon 02,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,128,15,82,11,0,20
Cobb,Oregon 03,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,82,12,36,3,0,31
Cobb,Oregon 04,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,84,3,56,5,0,20
Cobb,Oregon 05,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,177,3,124,9,0,41
Cobb,Pebblebrook 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,60,7,39,12,0,2
Cobb,Powers Ferry 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,268,11,185,38,1,33
Cobb,Pine Mountain 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,168,15,98,16,0,39
Cobb,Pine Mountain 02,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,246,12,146,10,0,78
Cobb,Post Oak 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,245,12,190,28,0,15
Cobb,Pope 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,261,10,181,51,1,18
Cobb,Palmer 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,143,11,112,3,0,17
Cobb,Powder Springs 1A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,92,6,69,14,0,3
Cobb,Powder Springs 2A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,37,1,28,3,0,5
Cobb,Powder Springs 3A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,81,11,49,8,0,13
Cobb,Pitner 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,79,6,67,4,0,2
Cobb,Rocky Mountain 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,224,4,200,8,0,12
Cobb,Riverside 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,6,0,6,0,0,0
Cobb,Roswell 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,525,21,377,107,0,20
Cobb,Roswell 02,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,354,18,263,68,0,5
Cobb,Sandy Plains 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,200,10,155,22,0,13
Cobb,Shallowford Fall 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,289,9,224,44,0,12
Cobb,Simpson 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,81,2,71,2,0,6
Cobb,Sewell Mill 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,350,14,247,66,0,23
Cobb,Sewell Mill 03,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,268,15,178,52,0,23
Cobb,Smyrna 1A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,85,10,63,1,0,11
Cobb,Smyrna 2A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,105,8,87,2,0,8
Cobb,Smyrna 3A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,176,18,135,1,0,22
Cobb,Smyrna 4A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,375,32,280,27,1,35
Cobb,Smyrna 5A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,102,9,73,6,0,14
Cobb,Smyrna 6A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,342,27,266,12,1,36
Cobb,Smyrna 7A,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,155,7,106,33,1,8
Cobb,Sope Creek 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,343,12,224,96,3,8
Cobb,Sope Creek 02,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,442,28,282,113,0,19
Cobb,Sope Creek 03,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,327,14,236,75,0,2
Cobb,Sweetwater 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,74,4,54,12,0,4
Cobb,Sweetwater 02,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,45,8,29,6,0,2
Cobb,Terrell Mill 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,266,15,170,69,0,12
Cobb,Timber Ridge 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,298,17,207,69,0,5
Cobb,Vaughn 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,160,5,110,29,0,16
Cobb,Vinings 01,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,129,10,106,3,0,10
Cobb,Vinings 02,COMMISSION CHAIRMAN - R,,,MIKE BOYCE,178,18,135,0,0,25
