county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,absentee_in_person_2,provisional,absentee_in_person
Cobb,,United States Senator,,REP,MARY KAY BACALLAO,4241,170,3309,327,7,428
Cobb,Acworth 1A,United States Senator,,REP,MARY KAY BACALLAO,25,1,14,0,0,10
Cobb,Acworth 1B,United States Senator,,REP,MARY KAY BACALLAO,41,2,31,2,0,6
Cobb,Acworth 1C,United States Senator,,REP,MARY KAY BACALLAO,18,0,14,0,0,4
Cobb,Addison 01,United States Senator,,REP,MARY KAY BACALLAO,33,7,20,6,0,0
Cobb,Austell 1A,United States Senator,,REP,MARY KAY BACALLAO,10,0,9,0,0,1
Cobb,Bells Ferry 02,United States Senator,,REP,MARY KAY BACALLAO,32,1,26,5,0,0
Cobb,Bells Ferry 03,United States Senator,,REP,MARY KAY BACALLAO,40,2,34,1,0,3
Cobb,Big Shanty 01,United States Senator,,REP,MARY KAY BACALLAO,29,0,25,4,0,0
Cobb,Big Shanty 02,United States Senator,,REP,MARY KAY BACALLAO,36,5,24,3,0,4
Cobb,Baker 01,United States Senator,,REP,MARY KAY BACALLAO,23,0,19,0,0,4
Cobb,Birney 01,United States Senator,,REP,MARY KAY BACALLAO,16,1,12,0,0,3
Cobb,Birney 02,United States Senator,,REP,MARY KAY BACALLAO,15,0,14,0,0,1
Cobb,Bryant 01,United States Senator,,REP,MARY KAY BACALLAO,1,0,1,0,0,0
Cobb,Bryant 02,United States Senator,,REP,MARY KAY BACALLAO,1,0,1,0,0,0
Cobb,Blackwell 01,United States Senator,,REP,MARY KAY BACALLAO,22,1,21,0,0,0
Cobb,Chattahoochee 01,United States Senator,,REP,MARY KAY BACALLAO,9,0,8,1,0,0
Cobb,Cheatham Hill 02,United States Senator,,REP,MARY KAY BACALLAO,54,3,40,11,0,0
Cobb,Cheatham Hill 03,United States Senator,,REP,MARY KAY BACALLAO,53,1,38,13,0,1
Cobb,Chalker 01,United States Senator,,REP,MARY KAY BACALLAO,28,4,21,2,0,1
Cobb,Clarkdale 01,United States Senator,,REP,MARY KAY BACALLAO,2,0,2,0,0,0
Cobb,Clarkdale 02,United States Senator,,REP,MARY KAY BACALLAO,19,1,17,0,0,1
Cobb,Cooper 01,United States Senator,,REP,MARY KAY BACALLAO,15,1,14,0,0,0
Cobb,Chestnut Ridge 01,United States Senator,,REP,MARY KAY BACALLAO,55,1,46,0,0,8
Cobb,Dickerson 01,United States Senator,,REP,MARY KAY BACALLAO,44,1,38,0,0,5
Cobb,Dobbins 01,United States Senator,,REP,MARY KAY BACALLAO,14,0,11,2,0,1
Cobb,Dowell 01,United States Senator,,REP,MARY KAY BACALLAO,36,3,27,6,0,0
Cobb,Dodgen 01,United States Senator,,REP,MARY KAY BACALLAO,41,4,31,1,0,5
Cobb,Durham 01,United States Senator,,REP,MARY KAY BACALLAO,21,1,16,1,0,3
Cobb,Davis 01,United States Senator,,REP,MARY KAY BACALLAO,15,0,15,0,0,0
Cobb,Eastside 01,United States Senator,,REP,MARY KAY BACALLAO,76,2,58,1,0,15
Cobb,Eastside 02,United States Senator,,REP,MARY KAY BACALLAO,95,2,68,3,0,22
Cobb,Elizabeth 01,United States Senator,,REP,MARY KAY BACALLAO,19,0,16,3,0,0
Cobb,Elizabeth 02,United States Senator,,REP,MARY KAY BACALLAO,15,0,13,1,0,1
Cobb,Elizabeth 03,United States Senator,,REP,MARY KAY BACALLAO,52,0,43,3,0,6
Cobb,Elizabeth 04,United States Senator,,REP,MARY KAY BACALLAO,19,0,15,1,0,3
Cobb,Elizabeth 05,United States Senator,,REP,MARY KAY BACALLAO,48,4,39,2,1,2
Cobb,East Piedmont 01,United States Senator,,REP,MARY KAY BACALLAO,19,3,13,3,0,0
Cobb,Fair Oaks 01,United States Senator,,REP,MARY KAY BACALLAO,10,0,5,5,0,0
Cobb,Fair Oaks 02,United States Senator,,REP,MARY KAY BACALLAO,14,0,10,0,1,3
Cobb,Fair Oaks 04,United States Senator,,REP,MARY KAY BACALLAO,8,4,4,0,0,0
Cobb,Fair Oaks 05,United States Senator,,REP,MARY KAY BACALLAO,11,0,10,1,0,0
Cobb,Fullers Park 01,United States Senator,,REP,MARY KAY BACALLAO,102,2,84,1,0,15
Cobb,Ford 01,United States Senator,,REP,MARY KAY BACALLAO,30,0,20,3,0,7
Cobb,Frey 01,United States Senator,,REP,MARY KAY BACALLAO,30,2,22,1,0,5
Cobb,Garrison Mill 01,United States Senator,,REP,MARY KAY BACALLAO,42,0,33,5,0,4
Cobb,Gritters 01,United States Senator,,REP,MARY KAY BACALLAO,56,2,49,5,0,0
Cobb,Harmony Leland 01,United States Senator,,REP,MARY KAY BACALLAO,8,0,7,0,0,1
Cobb,Harrison 01,United States Senator,,REP,MARY KAY BACALLAO,42,0,34,3,0,5
Cobb,Hightower 01,United States Senator,,REP,MARY KAY BACALLAO,56,2,45,1,0,8
Cobb,Hayes 01,United States Senator,,REP,MARY KAY BACALLAO,37,3,17,3,0,14
Cobb,Kennesaw 1A,United States Senator,,REP,MARY KAY BACALLAO,22,0,19,1,0,2
Cobb,Kennesaw 2A,United States Senator,,REP,MARY KAY BACALLAO,24,2,16,0,0,6
Cobb,Kennesaw 3A,United States Senator,,REP,MARY KAY BACALLAO,16,0,14,1,0,1
Cobb,Kennesaw 4A,United States Senator,,REP,MARY KAY BACALLAO,26,2,16,1,0,7
Cobb,Kennesaw 5A,United States Senator,,REP,MARY KAY BACALLAO,36,1,32,0,0,3
Cobb,Kell 01,United States Senator,,REP,MARY KAY BACALLAO,16,1,13,1,0,1
Cobb,Kemp 01,United States Senator,,REP,MARY KAY BACALLAO,19,1,14,3,0,1
Cobb,Kemp 02,United States Senator,,REP,MARY KAY BACALLAO,54,0,37,10,0,7
Cobb,Kemp 03,United States Senator,,REP,MARY KAY BACALLAO,55,1,38,7,0,9
Cobb,Lasssiter 01,United States Senator,,REP,MARY KAY BACALLAO,40,1,30,5,0,4
Cobb,Lindley 01,United States Senator,,REP,MARY KAY BACALLAO,20,0,18,2,0,0
Cobb,Lost Mountain 01,United States Senator,,REP,MARY KAY BACALLAO,34,2,18,0,0,14
Cobb,Lost Mountain 02,United States Senator,,REP,MARY KAY BACALLAO,35,2,28,0,0,5
Cobb,Lost Mountain 03,United States Senator,,REP,MARY KAY BACALLAO,45,2,26,2,0,15
Cobb,Lost Mountain 04,United States Senator,,REP,MARY KAY BACALLAO,20,2,10,3,0,5
Cobb,Lewis 01,United States Senator,,REP,MARY KAY BACALLAO,7,1,6,0,0,0
Cobb,Mableton 01,United States Senator,,REP,MARY KAY BACALLAO,19,5,10,0,0,4
Cobb,Mableton 02,United States Senator,,REP,MARY KAY BACALLAO,9,0,7,1,0,1
