county,precinct,office,district,candidate,party,votes,absentee_by_mail,election_day,advance_in_person,provisional
Elbert,Elberton,U.S. Senate,,Herschel Junior Walker,Rep,1026,44,297,685,0
Elbert,Longstreet,U.S. Senate,,Herschel Junior Walker,Rep,329,11,166,151,1
Elbert,Eliam,U.S. Senate,,Herschel Junior Walker,Rep,407,19,206,181,1
Elbert,Petersburg,U.S. Senate,,Herschel Junior Walker,Rep,226,3,152,71,0
Elbert,Wyche,U.S. Senate,,Herschel Junior Walker,Rep,540,22,211,306,1
Elbert,Moss-Ruckersville,U.S. Senate,,Herschel Junior Walker,Rep,208,9,96,103,0
Elbert,Pike,U.S. Senate,,Herschel Junior Walker,Rep,605,14,309,280,2
Elbert,Gaines,U.S. Senate,,Herschel Junior Walker,Rep,334,7,234,93,0
Elbert,Goshen,U.S. Senate,,Herschel Junior Walker,Rep,804,12,505,286,1
Elbert,Webbsboro,U.S. Senate,,Herschel Junior Walker,Rep,191,2,102,87,0
Elbert,Centerville,U.S. Senate,,Herschel Junior Walker,Rep,465,13,255,197,0
Elbert,Elberton,U.S. Senate,,Raphael Warnock,Dem,893,99,277,517,0
Elbert,Longstreet,U.S. Senate,,Raphael Warnock,Dem,95,9,29,56,1
Elbert,Eliam,U.S. Senate,,Raphael Warnock,Dem,84,9,32,41,2
Elbert,Petersburg,U.S. Senate,,Raphael Warnock,Dem,39,3,19,17,0
Elbert,Wyche,U.S. Senate,,Raphael Warnock,Dem,178,14,59,105,0
Elbert,Moss-Ruckersville,U.S. Senate,,Raphael Warnock,Dem,82,17,27,38,0
Elbert,Pike,U.S. Senate,,Raphael Warnock,Dem,314,58,69,184,3
Elbert,Gaines,U.S. Senate,,Raphael Warnock,Dem,58,4,28,26,0
Elbert,Goshen,U.S. Senate,,Raphael Warnock,Dem,165,21,75,69,0
Elbert,Webbsboro,U.S. Senate,,Raphael Warnock,Dem,73,2,40,31,0
Elbert,Centerville,U.S. Senate,,Raphael Warnock,Dem,96,11,44,39,2
Elbert,Elberton,U.S. Senate,,Chase Oliver,Lib,25,2,14,9,0
Elbert,Longstreet,U.S. Senate,,Chase Oliver,Lib,10,0,2,8,0
Elbert,Eliam,U.S. Senate,,Chase Oliver,Lib,4,1,3,0,0
Elbert,Petersburg,U.S. Senate,,Chase Oliver,Lib,2,0,0,2,0
Elbert,Wyche,U.S. Senate,,Chase Oliver,Lib,7,0,4,3,0
Elbert,Moss-Ruckersville,U.S. Senate,,Chase Oliver,Lib,7,0,4,3,0
Elbert,Pike,U.S. Senate,,Chase Oliver,Lib,10,0,5,5,0
Elbert,Gaines,U.S. Senate,,Chase Oliver,Lib,5,0,4,1,0
