country,office,district,party,candidate,votes
BRYAN,State Senate,1,Democrat,RENE' KEMP,458
CHATHAM,State Senate,1,Democrat,RENE' KEMP,3238
LIBERTY,State Senate,1,Democrat,RENE' KEMP,2593
BRYAN,State Senate,1,Republican,ERIC JOHNSON,1772
CHATHAM,State Senate,1,Republican,ERIC JOHNSON,10541
LIBERTY,State Senate,1,Republican,ERIC JOHNSON,425
CHATHAM,State Senate,2,Democrat,FLOYD ADAMS,6298
CHATHAM,State Senate,2,Democrat,REGINA THOMAS,9277
CHATHAM,State Senate,2,Democrat,SOLANA PLAINES,341
BRANTLEY,State Senate,3,Democrat,VINCENT WILLIAMS,1953
CAMDEN,State Senate,3,Democrat,VINCENT WILLIAMS,308
CHARLTON,State Senate,3,Democrat,VINCENT WILLIAMS,1043
GLYNN,State Senate,3,Democrat,VINCENT WILLIAMS,1819
MCINTOSH,State Senate,3,Democrat,VINCENT WILLIAMS,1307
BRANTLEY,State Senate,3,Republican,ED BOSHEARS,161
BRANTLEY,State Senate,3,Republican,JEFF CHAPMAN,112
BRANTLEY,State Senate,3,Republican,SHAW MCVEIGH,79
BRANTLEY,State Senate,3,Republican,TOMMY CLARK,126
CAMDEN,State Senate,3,Republican,ED BOSHEARS,879
CAMDEN,State Senate,3,Republican,JEFF CHAPMAN,1627
CAMDEN,State Senate,3,Republican,SHAW MCVEIGH,1261
CAMDEN,State Senate,3,Republican,TOMMY CLARK,1359
CHARLTON,State Senate,3,Republican,ED BOSHEARS,44
CHARLTON,State Senate,3,Republican,JEFF CHAPMAN,31
CHARLTON,State Senate,3,Republican,SHAW MCVEIGH,62
CHARLTON,State Senate,3,Republican,TOMMY CLARK,47
GLYNN,State Senate,3,Republican,ED BOSHEARS,1769
GLYNN,State Senate,3,Republican,JEFF CHAPMAN,3564
GLYNN,State Senate,3,Republican,SHAW MCVEIGH,2394
GLYNN,State Senate,3,Republican,TOMMY CLARK,2140
MCINTOSH,State Senate,3,Republican,ED BOSHEARS,216
MCINTOSH,State Senate,3,Republican,JEFF CHAPMAN,335
MCINTOSH,State Senate,3,Republican,SHAW MCVEIGH,415
MCINTOSH,State Senate,3,Republican,TOMMY CLARK,185
BULLOCH,State Senate,4,Democrat,CHRIS OLIVER,1450
CANDLER,State Senate,4,Democrat,CHRIS OLIVER,576
EFFINGHAM,State Senate,4,Democrat,CHRIS OLIVER,873
EMANUEL,State Senate,4,Democrat,CHRIS OLIVER,1295
EVANS,State Senate,4,Democrat,CHRIS OLIVER,1157
TATTNALL,State Senate,4,Democrat,CHRIS OLIVER,1045
TREUTLEN,State Senate,4,Democrat,CHRIS OLIVER,1038
BULLOCH,State Senate,4,Republican,FELIX MORING,760
BULLOCH,State Senate,4,Republican,JACK HILL,5787
CANDLER,State Senate,4,Republican,FELIX MORING,127
CANDLER,State Senate,4,Republican,JACK HILL,521
EFFINGHAM,State Senate,4,Republican,FELIX MORING,610
EFFINGHAM,State Senate,4,Republican,JACK HILL,4374
EMANUEL,State Senate,4,Republican,FELIX MORING,43
EMANUEL,State Senate,4,Republican,JACK HILL,231
EVANS,State Senate,4,Republican,FELIX MORING,30
EVANS,State Senate,4,Republican,JACK HILL,226
TATTNALL,State Senate,4,Republican,FELIX MORING,65
TATTNALL,State Senate,4,Republican,JACK HILL,328
TREUTLEN,State Senate,4,Republican,FELIX MORING,14
TREUTLEN,State Senate,4,Republican,JACK HILL,14
DEKALB,State Senate,5,Democrat,CRAIG NEWTON,37
DEKALB,State Senate,5,Democrat,CURT THOMPSON,78
DEKALB,State Senate,5,Democrat,MARGIE BUSH,92
DEKALB,State Senate,5,Democrat,WINSTON CAMPBELL,95
GWINNETT,State Senate,5,Democrat,CRAIG NEWTON,721
GWINNETT,State Senate,5,Democrat,CURT THOMPSON,1244
GWINNETT,State Senate,5,Democrat,MARGIE BUSH,778
GWINNETT,State Senate,5,Democrat,WINSTON CAMPBELL,735
COBB,State Senate,6,Democrat,DOUG STONER,5576
COBB,State Senate,6,Republican,GINGER COLLINS,5405
COBB,State Senate,6,Republican,WILLIAM ADAMS,2294
ATKINSON,State Senate,7,Democrat,ROGER BOATRIGHT,1067
BACON,State Senate,7,Democrat,ROGER BOATRIGHT,1685
BERRIEN,State Senate,7,Democrat,ROGER BOATRIGHT,1876
CLINCH,State Senate,7,Democrat,ROGER BOATRIGHT,1146
COFFEE,State Senate,7,Democrat,ROGER BOATRIGHT,4603
COOK,State Senate,7,Democrat,ROGER BOATRIGHT,636
ECHOLS,State Senate,7,Democrat,ROGER BOATRIGHT,210
LANIER,State Senate,7,Democrat,ROGER BOATRIGHT,1142
PIERCE,State Senate,7,Democrat,ROGER BOATRIGHT,404
WARE,State Senate,7,Democrat,ROGER BOATRIGHT,2042
ATKINSON,State Senate,7,Republican,DENNIS O'CONNOR,7
ATKINSON,State Senate,7,Republican,GREG GOGGANS,110
ATKINSON,State Senate,7,Republican,RONNIE HALL,12
BACON,State Senate,7,Republican,DENNIS O'CONNOR,13
BACON,State Senate,7,Republican,GREG GOGGANS,319
BACON,State Senate,7,Republican,RONNIE HALL,76
BERRIEN,State Senate,7,Republican,DENNIS O'CONNOR,31
BERRIEN,State Senate,7,Republican,GREG GOGGANS,342
BERRIEN,State Senate,7,Republican,RONNIE HALL,261
CLINCH,State Senate,7,Republican,DENNIS O'CONNOR,3
CLINCH,State Senate,7,Republican,GREG GOGGANS,28
CLINCH,State Senate,7,Republican,RONNIE HALL,10
COFFEE,State Senate,7,Republican,DENNIS O'CONNOR,15
COFFEE,State Senate,7,Republican,GREG GOGGANS,1184
COFFEE,State Senate,7,Republican,RONNIE HALL,61
COOK,State Senate,7,Republican,DENNIS O'CONNOR,7
COOK,State Senate,7,Republican,GREG GOGGANS,64
COOK,State Senate,7,Republican,RONNIE HALL,26
ECHOLS,State Senate,7,Republican,DENNIS O'CONNOR,7
ECHOLS,State Senate,7,Republican,GREG GOGGANS,12
ECHOLS,State Senate,7,Republican,RONNIE HALL,8
LANIER,State Senate,7,Republican,DENNIS O'CONNOR,10
LANIER,State Senate,7,Republican,GREG GOGGANS,36
LANIER,State Senate,7,Republican,RONNIE HALL,20
PIERCE,State Senate,7,Republican,DENNIS O'CONNOR,117
PIERCE,State Senate,7,Republican,GREG GOGGANS,2285
PIERCE,State Senate,7,Republican,RONNIE HALL,438
WARE,State Senate,7,Republican,DENNIS O'CONNOR,258
WARE,State Senate,7,Republican,GREG GOGGANS,2593
WARE,State Senate,7,Republican,RONNIE HALL,534
BROOKS,State Senate,8,Democrat,TIM GOLDEN,1487
COOK,State Senate,8,Democrat,TIM GOLDEN,1696
LOWNDES,State Senate,8,Democrat,TIM GOLDEN,4498
THOMAS,State Senate,8,Democrat,TIM GOLDEN,1409
BROOKS,State Senate,8,Republican,RUSTY GRIFFIN,224
COOK,State Senate,8,Republican,RUSTY GRIFFIN,101
LOWNDES,State Senate,8,Republican,RUSTY GRIFFIN,3713
THOMAS,State Senate,8,Republican,RUSTY GRIFFIN,1636
GWINNETT,State Senate,9,Democrat,ENOCK VIXAMAR,3331
GWINNETT,State Senate,9,Republican,DON BALFOUR,15306
DEKALB,State Senate,10,Democrat,DERRICK POPE,694
DEKALB,State Senate,10,Democrat,EMANUEL JONES,3586
DEKALB,State Senate,10,Democrat,GEORGE MADDOX,5017
DEKALB,State Senate,10,Democrat,RANDY MILLS,522
DEKALB,State Senate,10,Democrat,ROBERT LEE,363
DEKALB,State Senate,10,Democrat,SABRINA MCKENZIE,4046
DEKALB,State Senate,10,Democrat,SHIRLEY REAMS,2248
HENRY,State Senate,10,Democrat,DERRICK POPE,124
HENRY,State Senate,10,Democrat,EMANUEL JONES,1670
HENRY,State Senate,10,Democrat,GEORGE MADDOX,461
HENRY,State Senate,10,Democrat,RANDY MILLS,162
HENRY,State Senate,10,Democrat,ROBERT LEE,167
HENRY,State Senate,10,Democrat,SABRINA MCKENZIE,375
HENRY,State Senate,10,Democrat,SHIRLEY REAMS,507
COLQUITT,State Senate,11,Democrat,MURRAY CAMPBELL,2931
DECATUR,State Senate,11,Democrat,MURRAY CAMPBELL,2127
EARLY,State Senate,11,Democrat,MURRAY CAMPBELL,2297
GRADY,State Senate,11,Democrat,MURRAY CAMPBELL,2095
MILLER,State Senate,11,Democrat,MURRAY CAMPBELL,1502
MITCHELL,State Senate,11,Democrat,MURRAY CAMPBELL,1325
SEMINOLE,State Senate,11,Democrat,MURRAY CAMPBELL,1647
THOMAS,State Senate,11,Democrat,MURRAY CAMPBELL,610
COLQUITT,State Senate,11,Republican,JOHN BULLOCH,1159
DECATUR,State Senate,11,Republican,JOHN BULLOCH,779
EARLY,State Senate,11,Republican,JOHN BULLOCH,60
GRADY,State Senate,11,Republican,JOHN BULLOCH,1022
MILLER,State Senate,11,Republican,JOHN BULLOCH,5
MITCHELL,State Senate,11,Republican,JOHN BULLOCH,168
SEMINOLE,State Senate,11,Republican,JOHN BULLOCH,62
THOMAS,State Senate,11,Republican,JOHN BULLOCH,1073
BAKER,State Senate,12,Democrat,MIKE VON BREMEN,878
CALHOUN,State Senate,12,Democrat,MIKE VON BREMEN,1091
CLAY,State Senate,12,Democrat,MIKE VON BREMEN,453
DOUGHERTY,State Senate,12,Democrat,MIKE VON BREMEN,14672
MITCHELL,State Senate,12,Democrat,MIKE VON BREMEN,1589
QUITMAN,State Senate,12,Democrat,MIKE VON BREMEN,432
RANDOLPH,State Senate,12,Democrat,MIKE VON BREMEN,1725
TERRELL,State Senate,12,Democrat,MIKE VON BREMEN,730
