county,office,district,party,candidate,votes
APPLING,US Senate,,Democrat,Leigh Baier,200
ATKINSON,US Senate,,Democrat,Leigh Baier,77
BACON,US Senate,,Democrat,Leigh Baier,146
BAKER,US Senate,,Democrat,Leigh Baier,87
BALDWIN,US Senate,,Democrat,Leigh Baier,352
BANKS,US Senate,,Democrat,Leigh Baier,156
BARROW,US Senate,,Democrat,Leigh Baier,80
BARTOW,US Senate,,Democrat,Leigh Baier,187
BEN HILL,US Senate,,Democrat,Leigh Baier,343
BERRIEN,US Senate,,Democrat,Leigh Baier,214
BIBB,US Senate,,Democrat,Leigh Baier,1154
BLECKLEY,US Senate,,Democrat,Leigh Baier,161
BRANTLEY,US Senate,,Democrat,Leigh Baier,279
BROOKS,US Senate,,Democrat,Leigh Baier,131
BRYAN,US Senate,,Democrat,Leigh Baier,55
BULLOCH,US Senate,,Democrat,Leigh Baier,216
BURKE,US Senate,,Democrat,Leigh Baier,238
BUTTS,US Senate,,Democrat,Leigh Baier,175
CALHOUN,US Senate,,Democrat,Leigh Baier,120
CAMDEN,US Senate,,Democrat,Leigh Baier,54
CANDLER,US Senate,,Democrat,Leigh Baier,71
CARROLL,US Senate,,Democrat,Leigh Baier,202
CATOOSA,US Senate,,Democrat,Leigh Baier,89
CHARLTON,US Senate,,Democrat,Leigh Baier,172
CHATHAM,US Senate,,Democrat,Leigh Baier,1626
CHATTAHOOCHEE,US Senate,,Democrat,Leigh Baier,72
CHATTOOGA,US Senate,,Democrat,Leigh Baier,596
CHEROKEE,US Senate,,Democrat,Leigh Baier,166
CLARKE,US Senate,,Democrat,Leigh Baier,561
CLAY,US Senate,,Democrat,Leigh Baier,52
CLAYTON,US Senate,,Democrat,Leigh Baier,1444
CLINCH,US Senate,,Democrat,Leigh Baier,99
COBB,US Senate,,Democrat,Leigh Baier,1409
COFFEE,US Senate,,Democrat,Leigh Baier,318
COLQUITT,US Senate,,Democrat,Leigh Baier,375
COLUMBIA,US Senate,,Democrat,Leigh Baier,233
COOK,US Senate,,Democrat,Leigh Baier,330
COWETA,US Senate,,Democrat,Leigh Baier,220
CRAWFORD,US Senate,,Democrat,Leigh Baier,137
CRISP,US Senate,,Democrat,Leigh Baier,88
DADE,US Senate,,Democrat,Leigh Baier,163
DAWSON,US Senate,,Democrat,Leigh Baier,16
DECATUR,US Senate,,Democrat,Leigh Baier,284
DEKALB,US Senate,,Democrat,Leigh Baier,4066
DODGE,US Senate,,Democrat,Leigh Baier,376
DOOLY,US Senate,,Democrat,Leigh Baier,141
DOUGHERTY,US Senate,,Democrat,Leigh Baier,992
DOUGLAS,US Senate,,Democrat,Leigh Baier,228
EARLY,US Senate,,Democrat,Leigh Baier,291
ECHOLS,US Senate,,Democrat,Leigh Baier,35
EFFINGHAM,US Senate,,Democrat,Leigh Baier,134
ELBERT,US Senate,,Democrat,Leigh Baier,386
EMANUEL,US Senate,,Democrat,Leigh Baier,278
EVANS,US Senate,,Democrat,Leigh Baier,149
FANNIN,US Senate,,Democrat,Leigh Baier,79
FAYETTE,US Senate,,Democrat,Leigh Baier,208
FLOYD,US Senate,,Democrat,Leigh Baier,960
FORSYTH,US Senate,,Democrat,Leigh Baier,88
