country,office,district,party,candidate,votes
DADE,State House,1,Democrat,FRED STEPHENS,2338
WALKER,State House,1,Democrat,FRED STEPHENS,2668
DADE,State House,1,Republican,BRIAN JOYCE,2354
WALKER,State House,1,Republican,BRIAN JOYCE,4639
CATOOSA,State House,2,Democrat,MIKE SNOW,878
WALKER,State House,2,Democrat,MIKE SNOW,6719
CATOOSA,State House,2,Republican,GENE SHARP,742
WALKER,State House,2,Republican,GENE SHARP,4341
CATOOSA,State House,3,Democrat,JIM PRICE,5054
CATOOSA,State House,3,Republican,RON FORSTER,9588
WHITFIELD,State House,4,Republican,ALLEN HAMMONTREE,8885
WHITFIELD,State House,5,Democrat,JIM MIDDLETON,4716
WHITFIELD,State House,5,Republican,HAROLD MANN,6751
FANNIN,State House,6,Democrat,JUDY POAG,1732
MURRAY,State House,6,Democrat,JUDY POAG,4841
FANNIN,State House,6,Republican,JERRY LIFSEY,2791
MURRAY,State House,6,Republican,JERRY LIFSEY,3626
FANNIN,State House,7,Democrat,PAM DAVIDSON,1666
GILMER,State House,7,Democrat,PAM DAVIDSON,3517
LUMPKIN,State House,7,Democrat,PAM DAVIDSON,2948
FANNIN,State House,7,Republican,AMOS AMERSON,1805
GILMER,State House,7,Republican,AMOS AMERSON,3379
LUMPKIN,State House,7,Republican,AMOS AMERSON,3706
RABUN,State House,8,Democrat,RALPH TWIGGS,3120
TOWNS,State House,8,Democrat,RALPH TWIGGS,2674
UNION,State House,8,Democrat,RALPH TWIGGS,4203
WHITE,State House,8,Democrat,RALPH TWIGGS,1145
RABUN,State House,8,Republican,BILLY JOHNSON,1843
TOWNS,State House,8,Republican,BILLY JOHNSON,1724
UNION,State House,8,Republican,BILLY JOHNSON,2614
WHITE,State House,8,Republican,BILLY JOHNSON,1234
HABERSHAM,State House,9,Democrat,KATHLEEN HALL,3714
WHITE,State House,9,Democrat,KATHLEEN HALL,1891
HABERSHAM,State House,9,Republican,BEN BRIDGES,5530
WHITE,State House,9,Republican,BEN BRIDGES,2709
GORDON,State House,10,Democrat,TOM SHANAHAN,8569
CHATTOOGA,State House,11,Democrat,BARBARA REECE,5859
FLOYD,State House,11,Democrat,BARBARA REECE,3868
WALKER,State House,11,Democrat,BARBARA REECE,270
FLOYD,State House,12,Democrat,PAUL SMITH,7015
FLOYD,State House,12,Republican,RONNIE GREER,4175
BARTOW,State House,13,Democrat,(BUDDY) CHILDERS,1499
FLOYD,State House,13,Democrat,(BUDDY) CHILDERS,6278
BARTOW,State House,13,Republican,DAN MEDLIN,1511
FLOYD,State House,13,Republican,DAN MEDLIN,3979
BARTOW,State House,14,Democrat,PARNICK JENNINGS,6264
BARTOW,State House,14,Republican,JEFF LEWIS,9597
CHEROKEE,State House,15,Republican,GARLAND PINHOLSTER,8707
PICKENS,State House,15,Republican,GARLAND PINHOLSTER,4770
CHEROKEE,State House,16,Republican,STEVE STANCIL,14902
CHEROKEE,State House,17,Republican,CHUCK SCHEID,18126
HARALSON,State House,18,Democrat,TOM MURPHY,4351
PAULDING,State House,18,Democrat,TOM MURPHY,1625
POLK,State House,18,Democrat,TOM MURPHY,1091
HARALSON,State House,18,Republican,BILL HEATH,4083
PAULDING,State House,18,Republican,BILL HEATH,1649
POLK,State House,18,Republican,BILL HEATH,830
DAWSON,State House,19,Democrat,RANDY CHESTER,2066
HALL,State House,19,Democrat,RANDY CHESTER,3343
DAWSON,State House,19,Republican,CLINT SMITH,3706
HALL,State House,19,Republican,CLINT SMITH,8507
HALL,State House,20,Democrat,CARL ROGERS,7203
GWINNETT,State House,21,Republican,JAMES MILLS,5086
HALL,State House,21,Republican,JAMES MILLS,12684
BANKS,State House,22,Democrat,JEANETTE JAMIESON,2836
FRANKLIN,State House,22,Democrat,JEANETTE JAMIESON,374
STEPHENS,State House,22,Democrat,JEANETTE JAMIESON,5227
BANKS,State House,22,Republican,BILL GRANT,1753
FRANKLIN,State House,22,Republican,BILL GRANT,297
STEPHENS,State House,22,Republican,BILL GRANT,2927
FRANKLIN,State House,23,Democrat,ALAN POWELL,3886
HART,State House,23,Democrat,ALAN POWELL,3700
CLARKE,State House,24,Democrat,DOUGLAS MCKILLIP,3426
MADISON,State House,24,Democrat,DOUGLAS MCKILLIP,2865
CLARKE,State House,24,Republican,RALPH HUDGENS,2877
MADISON,State House,24,Republican,RALPH HUDGENS,4049
HALL,State House,25,Democrat,PAT BELL,610
JACKSON,State House,25,Democrat,PAT BELL,5920
HALL,State House,25,Republican,SCOTT TOLBERT,807
JACKSON,State House,25,Republican,SCOTT TOLBERT,5668
