county,precinct,office,district,party,candidate,votes,advance_in_person_1,absentee_by_mail,election_day,provisional,advance_in_person_2
Fulton,,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),24873,311,912,22281,28,1341
Fulton,01A,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),41,1,3,36,0,1
Fulton,01B,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),47,1,0,44,1,1
Fulton,01C1,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1,0,0,1,0,0
Fulton,01C2,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1,0,0,1,0,0
Fulton,01D,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),7,1,0,6,0,0
Fulton,01E,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),35,0,1,34,0,0
Fulton,01F,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1,0,0,1,0,0
Fulton,01G,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),7,0,0,7,0,0
Fulton,01J,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2,0,0,2,0,0
Fulton,01P,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),3,0,0,3,0,0
Fulton,01R,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1,0,0,1,0,0
Fulton,01S,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),0,0,0,0,0,0
Fulton,01T,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),15,0,0,14,0,1
Fulton,02A,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),12,0,0,12,0,0
Fulton,02B,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),33,3,2,27,1,0
Fulton,02C,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),14,1,0,11,2,0
Fulton,02D,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),46,3,0,43,0,0
Fulton,02E,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),28,0,1,27,0,0
Fulton,02F1,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),35,1,2,31,0,1
Fulton,02F2,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),5,0,0,4,0,1
Fulton,02G,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),40,0,6,34,0,0
Fulton,02J,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),8,0,0,8,0,0
Fulton,02L1,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),88,2,0,86,0,0
Fulton,02L2,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),14,1,1,12,0,0
Fulton,02S,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),11,1,0,10,0,0
Fulton,02W,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),27,1,1,24,0,1
Fulton,02X,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),21,0,0,19,0,2
Fulton,03A,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2,0,1,1,0,0
Fulton,03B,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1,0,0,1,0,0
Fulton,03C,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),0,0,0,0,0,0
Fulton,03D,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),3,0,0,3,0,0
Fulton,03E,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),3,0,0,3,0,0
Fulton,03G,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2,0,0,2,0,0
Fulton,03H,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),0,0,0,0,0,0
Fulton,03L,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1,0,0,1,0,0
