county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,advance_in_person,provisional,
Appling,,"U.S. Representative, District 12",12,REP,RICK ALLEN,701,53,562,86,0,
Appling,1A,"U.S. Representative, District 12",12,REP,RICK ALLEN,14,0,12,2,0,
Appling,1A1,"U.S. Representative, District 12",12,REP,RICK ALLEN,23,5,18,0,0,
Appling,1B,"U.S. Representative, District 12",12,REP,RICK ALLEN,49,4,37,8,0,
Appling,1C,"U.S. Representative, District 12",12,REP,RICK ALLEN,24,5,18,1,0,
Appling,1D,"U.S. Representative, District 12",12,REP,RICK ALLEN,6,2,4,0,0,
Appling,2,"U.S. Representative, District 12",12,REP,RICK ALLEN,32,3,29,0,0,
Appling,3A,"U.S. Representative, District 12",12,REP,RICK ALLEN,39,1,36,2,0,
Appling,3B,"U.S. Representative, District 12",12,REP,RICK ALLEN,33,3,24,6,0,
Appling,3C,"U.S. Representative, District 12",12,REP,RICK ALLEN,129,13,93,23,0,
Appling,4A,"U.S. Representative, District 12",12,REP,RICK ALLEN,23,0,23,0,0,
Appling,4B,"U.S. Representative, District 12",12,REP,RICK ALLEN,60,4,52,4,0,
Appling,4C,"U.S. Representative, District 12",12,REP,RICK ALLEN,43,1,36,6,0,
Appling,4D,"U.S. Representative, District 12",12,REP,RICK ALLEN,88,3,72,13,0,
Appling,5A,"U.S. Representative, District 12",12,REP,RICK ALLEN,83,5,66,12,0,
Appling,5B,"U.S. Representative, District 12",12,REP,RICK ALLEN,39,3,30,6,0,
Appling,5C,"U.S. Representative, District 12",12,REP,RICK ALLEN,16,1,12,3,0,
Appling,,"U.S. Representative, District 12",12,REP,LEE ANDERSON,1009,69,811,129,0,
Appling,1A,"U.S. Representative, District 12",12,REP,LEE ANDERSON,21,2,17,2,0,
Appling,1A1,"U.S. Representative, District 12",12,REP,LEE ANDERSON,33,0,32,1,0,
Appling,1B,"U.S. Representative, District 12",12,REP,LEE ANDERSON,101,12,75,14,0,
Appling,1C,"U.S. Representative, District 12",12,REP,LEE ANDERSON,59,3,51,5,0,
Appling,1D,"U.S. Representative, District 12",12,REP,LEE ANDERSON,6,0,6,0,0,
Appling,2,"U.S. Representative, District 12",12,REP,LEE ANDERSON,44,5,36,3,0,
Appling,3A,"U.S. Representative, District 12",12,REP,LEE ANDERSON,68,3,60,5,0,
Appling,3B,"U.S. Representative, District 12",12,REP,LEE ANDERSON,20,3,13,4,0,
Appling,3C,"U.S. Representative, District 12",12,REP,LEE ANDERSON,147,10,105,32,0,
