county,precinct,office,district,party,candidate,election_day,absentee_by_mail,advance_in_person,provisional,votes
Lowndes,Hahira Historical So,Public Service Commission,District 3,REP,CHUCK EATON (I),459,5,391,4,859
Lowndes,Old Pine Grove Elem,Public Service Commission,District 3,REP,CHUCK EATON (I),394,6,202,0,602
Lowndes,Trinity Presbyterian Chur,Public Service Commission,District 3,REP,CHUCK EATON (I),656,20,588,1,1265
Lowndes,Northside Bapt Gym,Public Service Commission,District 3,REP,CHUCK EATON (I),206,17,139,0,362
Lowndes,Jaycee Park Act Bldg,Public Service Commission,District 3,REP,CHUCK EATON (I),153,11,88,1,253
Lowndes,Naylor City Hall,Public Service Commission,District 3,REP,CHUCK EATON (I),60,0,7,0,67
Lowndes,Wood Valley Comm Ctr,Public Service Commission,District 3,REP,CHUCK EATON (I),297,19,161,2,479
Lowndes,Rainwater Conf Ctr,Public Service Commission,District 3,REP,CHUCK EATON (I),110,2,40,1,153
Lowndes,New Clyatt Fire Station,Public Service Commission,District 3,REP,CHUCK EATON (I),203,7,88,0,298
Lowndes,Mildred Hunter Comm,Public Service Commission,District 3,REP,CHUCK EATON (I),37,4,35,1,77
Lowndes,Dasher City Hall,Public Service Commission,District 3,REP,CHUCK EATON (I),315,8,76,1,400
Lowndes,South Lowndes Rec,Public Service Commission,District 3,REP,CHUCK EATON (I),224,10,74,3,311
Lowndes,,Public Service Commission,District 3,REP,CHUCK EATON (I),3114,109,1889,14,5126
Lowndes,Hahira Historical So,Public Service Commission,District 3,REP,MATT REID,227,4,163,4,398
Lowndes,Old Pine Grove Elem,Public Service Commission,District 3,REP,MATT REID,214,10,103,1,328
Lowndes,Trinity Presbyterian Chur,Public Service Commission,District 3,REP,MATT REID,228,5,293,1,527
Lowndes,Northside Bapt Gym,Public Service Commission,District 3,REP,MATT REID,110,5,63,1,179
Lowndes,Jaycee Park Act Bldg,Public Service Commission,District 3,REP,MATT REID,82,1,42,0,125
Lowndes,Naylor City Hall,Public Service Commission,District 3,REP,MATT REID,53,0,2,0,55
Lowndes,Wood Valley Comm Ctr,Public Service Commission,District 3,REP,MATT REID,151,5,79,2,237
Lowndes,Rainwater Conf Ctr,Public Service Commission,District 3,REP,MATT REID,61,6,28,0,95
Lowndes,New Clyatt Fire Station,Public Service Commission,District 3,REP,MATT REID,123,2,49,0,174
